series,experiment,strategy,mode,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,n_reps,total_time_mean,total_time_std,avg_comm_mean,avg_comm_std,avg_compute_mean,avg_compute_std,avg_pack_mean,avg_pack_std,avg_send_mean,avg_send_std,avg_wait_mean,avg_wait_std,avg_actual_comm_mean,avg_actual_comm_std,git_commit,git_dirty,command
pipelined,results_strong_1024_detailed_timing,pipelined,strong,16,64,1,1024,1024,64,1024,-1,-1,3,1.3465253333333334,0.00019275603463676178,0.21203760000000002,0.0033799181479241065,1.1343473333333334,0.0035709289485448326,0.1123435,0.0012273096675248698,0.019668253333333333,2.6946594507572212e-05,0.07953648333333334,0.0038174712581789307,0.09920473666666667,0.003810726416860122,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
pipelined,results_corners_strong_1024_timed_n96,pipelined,strong,24,96,1,1024,1024,64,1024,-1,-1,3,0.9429111333333333,0.024555641632875786,0.1883043666666667,0.024249628275134903,0.7544699,0.0023290998876532884,0.08334746333333333,0.0004743413938879414,0.01796996,8.583398666418005e-05,0.08646913333333334,0.02441465917901147,0.10443909333333334,0.024461659491534005,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_strong_1024_detailed_timing,waitany,strong,1,1,1,1024,1024,64,1024,-1,-1,3,91.65185666666666,2.049596377539299,1.4027396666666665,0.039303245975647126,90.24849666666667,2.0636642117090833,1.299636,0.03800572352510433,0.09822713666666667,0.0014211714268244403,0.0037098170000000002,0.0001178097410432035,0.10193695366666666,0.0014381974543551215,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_strong_1024_detailed_timing,waitany,strong,1,2,1,1024,1024,64,1024,-1,-1,3,44.43152666666666,0.1433554794519182,1.1943383333333333,0.11356051825739825,43.23645666666667,0.046920705687598936,0.7350902,0.029544923576253632,0.016702093333333334,0.0002842691614571578,0.44088780000000005,0.1261569086504844,0.4575898933333334,0.12642383415703765,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_strong_1024_detailed_timing,waitany,strong,1,4,1,1024,1024,64,1024,-1,-1,3,25.160749999999997,0.2173194157609176,0.9787904,0.13236476822447882,24.180936666666668,0.08891509670591456,0.5158859333333333,0.0024766718371413195,0.02140221,0.0007730434193928988,0.4400633333333334,0.13167331689744718,0.4614655433333333,0.13232261957811478,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_strong_1024_detailed_timing,waitany,strong,2,8,1,1024,1024,64,1024,-1,-1,3,9.952943333333332,0.06732766651401348,0.49955333333333335,0.06117334272651408,9.452693333333334,0.011385334611781732,0.23899256666666666,0.0012548227506526772,0.027584343333333334,0.0008854136657455035,0.2310133,0.0605804458825343,0.25859764333333335,0.061383978721716595,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_strong_1024_detailed_timing,waitany,strong,4,16,1,1024,1024,64,1024,-1,-1,3,4.424556,0.0929273573317712,0.46163550000000003,0.07601744160511237,3.962755,0.01689723440882156,0.22292786666666667,0.000726582696983322,0.01230933,0.00022806195517885043,0.22510863333333334,0.0764711504734665,0.23741796333333334,0.07669920443651479,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_strong_1024_detailed_timing,waitany,strong,8,32,1,1024,1024,64,1024,-1,-1,3,2.213858666666667,0.005656609958466506,0.23769103333333333,0.0020716407480277266,1.9760236666666666,0.0045874321308936785,0.13718526666666667,0.00046368542018150204,0.01059238,1.1481210737548125e-05,0.08843610666666667,0.0025067570479583583,0.09902848666666665,0.002518207070454868,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_strong_1024_detailed_timing,waitany,strong,16,64,1,1024,1024,64,1024,-1,-1,3,1.3637846666666666,0.024522410992577563,0.2195469,0.010968292994202272,1.1441016666666668,0.01497103038834968,0.1244944,0.00044637359539590013,0.009899929666666666,8.360147943799908e-05,0.08367668,0.010514033335902383,0.09357660966666666,0.010584479009028779,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
waitany,results_corners_strong_1024_timed_n96,waitany,strong,24,96,1,1024,1024,64,1024,-1,-1,3,0.9294612,0.008533449959229077,0.1752539,0.007261064567036065,0.7540766333333333,0.0013105949522597736,0.09040856666666668,0.00020064555021784267,0.009591680333333333,6.401098958946218e-05,0.07373294333333334,0.007005953531277686,0.08332462366666665,0.007064692385230107,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores ./stencil2d-mpi-corners-waitany.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
